,released,NEED RE,order #,PO #,quantity,thick,width,length,grade,mill,frt,Total,,,,
 VNS CORNELIA 1-1 ,,,56729,2634228,20,2,4,105,2,450,40,490,,,,
BI,15-Nov,,56666,67630,21,2,6,9,4,250,,,,,,
bi,15-Nov,,56667,67631,21,2,6,9,4,250,,,,,,
GSWP,,,56662,756765,19,2,4,10,2p,425,,,,,,
UFPI,15-Nov,,56663,21911143,17,2,4,116,2,435,,,,,,
UFPI,16-Nov,,56664,21911150,10,2,4,116,2,435,,,,,,
,,,,,9,2,4,104,2,460,,,,,,
UFPI,,,56665,21911162,14,2,6,116,2,455,,,,,,
,,,,,5,2,4,104,2,465,,,,,,
MAC,28-Nov,,56721,14795-a,15,2,6,12,2,400,40,440,,,,
MAC,,,56668,14795-b,15,2,6,12,2,400,40,440,,,,
MAC,5-Jun,,56722,15579C,15,2,6,12,2p,494,46,540,,,,
MILLING,,,56679,122383,10,2,4,7,2,360,38,,,,,
,,,,,16,2,6,7,2,330,,,,,,
WOODLANDS arh220,20-Nov,,56698,47742,21,2,4,104,2,466,27,493,,,,
WOODLANDS arh221,27-Nov,,56700,47743,21,2,4,104,2,466,27,493,,,,
GULFCOAST,1-Feb,,56589,4040007-00,21,2,6,104,2,455,45,500,,,,
GULFCOAST,,,56590,4040008-00,21,2,6,104,2,455,45,500,,,,
UFPI AUBURNDALE,14-Dec,,56669,21868678,15,2,6,12,4,239,39,,,,,
UFPI AUBURNDALE,,,56670,21868679,15,2,6,12,4,239,39,278,,,,
UFPI AUBURNDALE,,,56671,21868681,5,2,6,8,4,239,39,,,,,
,,,,,6,2,6,10,4,239,39,,,,,
,,,,,5,2,6,12,4,239,39,,,,,
SHELTER PINEHURST,stg 4:10 11-22,,56672,1326361-00,18,2,6,118-1/8,2,463,57,520,,,,
SHELTER PINEHURST,,,56673,1326362-00,18,2,6,118-1/8,2,463,57,520,,,,
SHELTER PINEHURST,complete,,56674,1326363-00,18,2,6,118-1/8,2,463,57,520,,,,
SHELTER PINEHURST,,,56675,1326364-00,18,2,6,118-1/8,2,463,57,520,,,,
SHELTER PINEHURST,,,56840,1326365-00,18,2,6,118-1/8,2,463,57,520,,,,
SEA,15-Nov,,56676,99485,23,2,6,8,3,275,39,,,,,
SEA,15-Nov,,56677,99486,23,2,6,8,3,275,39,,,,,
SEA,15-Nov,,56678,99487,23,2,6,8,3,275,39,,,,,
Mac ,,,56658,14979,12,2,4,140-5/8,2,455,900,,,,,
BI,,,56730,67692,25,2,4,7,2,360,39,,,,,
TLC ,16-Nov,,56740,6991,17,2,4,116,2,415,40,455,,,,
gswp,,,56741,756934,17,2,6,10,2p,435,,,,,,
SMT,,,56755,14681,22,2,4,8,3,300,,,,,,
Coastal,,,56756,10059528,5,2,6,10,2p,430,,,,,,
,,,,,5,2,6,12,2p,430,,,,,,
,,,,,2,2,4,8,2p,420,,,,,,
,,,,,7,2,6,8,2p,420,,,,,,
BRIDGE,,,56754,807899,9,2,6,12,2,410,,,,,,
,,,,,9,2,6,92.5,2,370,,,,,,
EIGHTYFOUR BY 11-22,20-Nov,,56751,KY26835,10,2,4,104,2,465,35,500,,,,
,,,,,10,2,6,104,2,460,35,495,,,,
EIGHTYFOUR BY 12-01,4-Dec,,56752,KY26836,10,2,4,104,2,465,35,500,,,,
,,,,,10,2,6,104,2,460,35,495,,,,
EIGHTYFOUR BY 12-01,,,56753,KY26837,3,2,4,104,2,465,35,500,,,,
,,,,,18,2,6,104,2,460,35,495,,,,
MATHEUS,,,56463,63489-P02,20,2,4,104,2,460,40,500,,,,
MATHEUS,,,56490,63489-P03,20,2,4,104,2,460,40,500,,,,
MATHEUS,,,56491,63489-P04,20,2,4,104,2,460,40,500,,,,
MATHEUS,,,56492,63489-P05,20,2,4,104,2,460,40,500,,,,
MATHEUS,,,56493,63489-P06,20,2,4,104,2,460,40,500,,,,
MATHEUS,,,57040,63489-P09,21,2,6,104,2,470,40,510,,,,
MATHEUS,,,57041,63489-P10,21,2,6,104,2,470,40,510,,,,
MATHEUS,,,56733,63490-P63,21,2,6,104,2,460,35,495,,,,
MATHEUS,,,56735,63490-P64,21,2,6,104,2,460,35,495,,,,
MATHEUS ,1-Dec,,56883,63489-P07,22,3,4,104,2,558,40,598,,,,
MATHEUS ,11-Dec,,56884,63489-P08,22,3,4,104,2,558,40,598,,,,
MATHEUS DECATUR,,,56757,30048-109,12,2,6,104,2,468,37,505,,,,
,,,,,8,2,4,104,2,473,37,510,,,,
BOISE,30-Nov,,56758,MT54094,6,2,4,104,2,465,,,,,,
,,,,,6,2,4,116,2,440,,,,,,
,,,,,6,2,6,104,2,460,,,,,,
CHEROKEE,17-Nov,,56759,164-12,17,2,4,116-5/8,2,445,40,485,,,,
BI,17-Nov,,56765,67825,18,2,6,10,2p,440,,,,,,
SAPHIRE,,,56769,97828,28,2,6,7,2,325,,,,,,
MILLING,,,56731,122384,4,2,4,8,4,,,,,,,
,,,,,6,2,4,10,4,,,,,,,
,,,,,5,2,4,12,4,,,,,,,
,,,,,1,2,4,8,kw,,,,,,,
MILLLING,,,56732,122385,3,2,4,8,kw,,,,,,,
,,,,,4,2,4,10,kw,,,,,,,
,,,,,5,2,4,12,kw,,,,,,,
,,,,,2,2,4,9,4,,,,,,,
,,,,,4,2,6,8,4,,,,,,,
MILLING,,,56734,122386,8,2,6,10,4,,,,,,,
,,,,,6,2,6,10,3,,,,,,,
,,,,,3,2,6,12,4,,,,,,,
MILLING,,,56736,122387,20,2,4,9,4,,,,,,,
MILLING,,,56737,122388,21,2,6,9,4,,,,,,,
MILLING,,,56738,122389,2,2,6,12,4,38,,,,,,
,,,,,17,2,4,9,4,,,,,,,
MILLING,,,56739,122390,23,2,6,8,4,,,,,,,
MILLING,20-Nov,,56771,122391,22,2,4,8,2,400,,,,,,
GSWP,,,56772,757357,19,2,4,104,1,470,,,,,,
,,,,,1,2,6,9,1,475,,,,,,
GSWP both this and the one below on one truck. ,,,56774,757358,9,2,6,104,1,465,,,,,,
GSWP,,,56776,757521,13,2,6,8,2p,420,,,,,,
SHELTER MILFORD,,,56773,1323965-00,21,2,6,104,2,452,83,535,,,,
SHELTER MILFORD,,,56742,1323964-00,21,2,6,104,2,452,83,535,,,,
SHELTER MILFORD,22-Nov,tmc,56743,1323963-00,21,2,6,104,2,452,83,535,,,,
SHELTER MILFORD,22-Nov,tmc,56744,1323962-00,21,2,6,104,2,452,83,535,,,,
BI  12-11,13-Dec,,56749,67688,10,2,4,104,2,465,,,,,,
,,,,,10,2,6,104,2,460,,,,,,
LMC NOT BEFORE 11-27,5-Dec,,56775,10367876,21,2,4,104,2,460,45,505,,,,
SHELTER COLLEGE,20-Nov,,56766,1327457-00,12,2,4,104-5/8,2,478,40,518,,,,
,,,,,7,2,6,104,2,488,40,528,,,,
SHELTER COLLEGE,22-Nov,,56767,1327458-00,21,2,6,104,2,488,40,528,,,,
SHELTER COLLEGE,22-Nov,,56768,1327459-00,21,2,6,104,2,488,40,528,,,,
BI 11-27,gtg 11-22,,56760,67812,2,2,4,105,2,475,,,,,,
,28-Nov,,,,18,2,6,105,2,470,,,,,,
BI 11-27,,,56761,67813,2,2,4,105,2,475,,,,,,
,,,,,18,2,6,105,2,470,,,,,,
BI 11-27,,,56762,67814,2,2,4,105,2,475,,,,,,
,,,,,18,2,6,105,2,470,,,,,,
BI 11-27,,,56763,67815,2,2,4,105,2,475,,,,,,
,,,,,18,2,6,105,2,470,,,,,,
BI 11-27,,,56764,67816,2,2,4,105,2,475,,,,,,
,,,,,18,2,6,105,2,470,,,,,,
BI 11-27,,,56745,67684,7,2,4,116,2,440,,,,,,
,,,,,11,2,6,116,2,465,,,,,,
BI 11-27,1-Dec,,56746,67685,19,2,6,116,2,465,,,,,,
BI 12-4,15-Dec,,56747,67686,12,2,4,104,2,465,,,,,,
,,,,,6,2,6,116,2,465,,,,,,
BI 12-4,13-Dec,,56748,67687,21,2,6,104,2,460,,,,,,
,,,56749,67688,10,2,4,104,2,465,,,,,,
,,,,,10,2,6,104,2,460,,,,,,
BI 12-11,18-Dec,,56750,67689,21,2,6,104,2,460,,,,,,
BRIDGE,,,56680,811216,21,2,6,104,2,455,,,,,,
BRIDGE,,,56681,811217,21,2,6,104,2,455,,,,,,
BRIDGE,,,56682,811218,21,2,6,104,2,455,,,,,,
BRIDGE,,,56683,811219,21,2,6,104,2,455,,,,,,
BRIDGE,,,56684,811220,21,2,6,104,2,455,,,,,,
BRIDGE,,,56685,811221,21,2,6,103-1/2,2,455,33,,,,,
BRIDGE,,,56686,811222,21,2,6,104,2,455,42,,,,,
BRIDGE,17-Oct,,56687,811223,21,2,6,104,2,455,42,,,,,
BRIDGE,23-Jul,,56688,811224,21,2,6,104,2,455,44,,,,,
BRIDGE,,,56689,811225,21,2,6,104,2,455,32,488,,,,
BRIDGE,20-Nov,,56690,811226,17,2,4,116,2,440,,,,,,
BRIDGE,,,56691,811228,17,2,6,116,2,444,38,482,,,,
BRIDGE,21-Dec,,56692,811229,17,2,4,116,2,440,,,,,,
BRIDGE sandy,,,56693,811230,17,2,4,116,2,440,,,,,,
